time	V(probe_1)	V(probe_2)	V(probe_3)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-09	0.000000e+00	0.000000e+00	0.000000e+00
1.000453437365229e-09	2.162551e-11	1.568377e-15	6.674213e-16
1.001360312095687e-09	4.062299e-10	8.155853e-14	2.737182e-14
1.003174061556602e-09	4.579599e-09	1.631759e-12	4.782933e-13
1.005272281837864e-09	2.441353e-08	1.436513e-11	3.704786e-12
1.007660266136698e-09	9.651126e-08	9.054307e-11	2.064905e-11
1.010278096399255e-09	3.242381e-07	5.272133e-10	1.028404e-10
1.013733402894966e-09	1.048287e-06	2.808047e-09	4.779952e-10
1.017244756690548e-09	2.625931e-06	1.085075e-08	1.639640e-09
1.021045990891976e-09	5.896755e-06	3.676005e-08	4.972998e-09
1.024968847531733e-09	1.198159e-05	1.157608e-07	1.391268e-08
1.030015158659357e-09	2.537456e-05	4.083157e-07	4.307791e-08
1.036022941341085e-09	5.050613e-05	1.288409e-06	1.222934e-07
1.041656401934669e-09	8.502922e-05	3.193573e-06	2.792819e-07
1.047483831692810e-09	1.338211e-04	7.476058e-06	6.047931e-07
1.054292471604141e-09	2.066330e-04	1.786086e-05	1.337139e-06
1.062182909673397e-09	3.078351e-04	4.099669e-05	2.868026e-06
1.069776853520697e-09	4.181956e-04	8.097995e-05	5.366903e-06
1.077512966500915e-09	5.396988e-04	1.502841e-04	9.457583e-06
1.086400567090073e-09	6.857765e-04	2.784667e-04	1.655914e-05
1.096166192090073e-09	8.521446e-04	4.925670e-04	2.755305e-05
1.105931817090073e-09	1.025929e-03	7.995216e-04	4.182630e-05
1.115697442090073e-09	1.209527e-03	1.212856e-03	5.856549e-05
1.125463067090072e-09	1.403608e-03	1.736675e-03	7.581881e-05
1.135228692090072e-09	1.605678e-03	2.366022e-03	9.052744e-05
1.144994317090072e-09	1.810497e-03	3.087166e-03	9.869743e-05
1.154759942090072e-09	2.011872e-03	3.879221e-03	9.578302e-05
1.164525567090072e-09	2.204521e-03	4.716809e-03	7.723088e-05
1.174291192090072e-09	2.384942e-03	5.573337e-03	3.909916e-05
1.184056817090072e-09	2.551037e-03	6.424425e-03	-2.135019e-05
1.193822442090072e-09	2.701042e-03	7.251046e-03	-1.051821e-04
1.203588067090072e-09	2.832659e-03	8.041894e-03	-2.115145e-04
1.213353692090072e-09	2.942964e-03	8.794667e-03	-3.374791e-04
1.223119317090072e-09	3.029129e-03	9.516029e-03	-4.784150e-04
1.232884942090071e-09	3.089445e-03	1.022029e-02	-6.282595e-04
1.242650567090071e-09	3.124067e-03	1.092703e-02	-7.800699e-04
1.252416192090071e-09	3.135090e-03	1.165817e-02	-9.265934e-04
1.262181817090071e-09	3.126039e-03	1.243497e-02	-1.060802e-03
1.271947442090071e-09	3.101126e-03	1.327549e-02	-1.176325e-03
1.281713067090071e-09	3.064656e-03	1.419296e-02	-1.267725e-03
1.291478692090071e-09	3.020802e-03	1.519514e-02	-1.330635e-03
1.301244317090071e-09	2.973652e-03	1.628473e-02	-1.361743e-03
1.311009942090071e-09	2.927320e-03	1.746052e-02	-1.358710e-03
1.320775567090071e-09	2.885882e-03	1.871909e-02	-1.320059e-03
1.330541192090071e-09	2.853116e-03	2.005649e-02	-1.245090e-03
