time	V(probe_1)	V(probe_2)	V(probe_3)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-09	0.000000e+00	0.000000e+00	0.000000e+00
1.000453437365229e-09	1.205091e-11	2.100850e-15	4.115058e-16
1.001360312095687e-09	2.264391e-10	1.104888e-13	1.687419e-14
1.003174061556602e-09	2.552853e-09	2.220039e-12	2.948075e-13
1.005272464295523e-09	1.368404e-08	1.985395e-11	2.307063e-12
1.007682540011604e-09	5.459428e-08	1.269249e-10	1.300057e-11
1.010316219089728e-09	1.844547e-07	7.532347e-10	6.555766e-11
1.013843202326300e-09	5.923757e-07	3.874494e-09	2.967331e-10
1.017117871463162e-09	1.408220e-06	1.425138e-08	9.640367e-10
1.021121437141400e-09	3.295325e-06	5.123362e-08	3.083333e-09
1.024954121236664e-09	6.548365e-06	1.586130e-07	8.429187e-09
1.030246253908016e-09	1.418814e-05	5.874811e-07	2.708579e-08
1.036361606714457e-09	2.786690e-05	1.826758e-06	7.538583e-08
1.041933370717257e-09	4.580166e-05	4.437043e-06	1.673739e-07
1.047987120963746e-09	7.173035e-05	1.054519e-05	3.631164e-07
1.054935056381654e-09	1.082200e-04	2.407716e-05	7.626379e-07
1.061351321939749e-09	1.471203e-04	4.734344e-05	1.394224e-06
1.069142301908158e-09	1.987974e-04	9.585186e-05	2.612534e-06
1.076435092457306e-09	2.496020e-04	1.713105e-04	4.342046e-06
1.085689952462238e-09	3.162819e-04	3.233867e-04	7.469670e-06
1.095455577462238e-09	3.894095e-04	5.632672e-04	1.175659e-05
1.105221202462238e-09	4.668142e-04	9.018190e-04	1.672059e-05
1.114986827462237e-09	5.494563e-04	1.349046e-03	2.153219e-05
1.124752452462237e-09	6.366228e-04	1.905070e-03	2.483444e-05
1.134518077462237e-09	7.259666e-04	2.560606e-03	2.481226e-05
1.144283702462237e-09	8.145465e-04	3.297937e-03	1.935139e-05
1.154049327462237e-09	8.999894e-04	4.093146e-03	6.285799e-06
1.163814952462237e-09	9.809552e-04	4.919263e-03	-1.630371e-05
1.173580577462237e-09	1.056726e-03	5.749914e-03	-4.978839e-05
1.183346202462237e-09	1.126401e-03	6.562982e-03	-9.473882e-05
1.193111827462237e-09	1.188394e-03	7.343696e-03	-1.507631e-04
1.202877452462237e-09	1.240602e-03	8.086635e-03	-2.164632e-04
1.212643077462236e-09	1.281111e-03	8.796242e-03	-2.895163e-04
1.222408702462236e-09	1.308925e-03	9.485779e-03	-3.668678e-04
1.232174327462236e-09	1.324273e-03	1.017496e-02	-4.450019e-04
1.241939952462236e-09	1.328372e-03	1.088675e-02	-5.202477e-04
1.251705577462236e-09	1.322917e-03	1.164410e-02	-5.890705e-04
1.261471202462236e-09	1.309659e-03	1.246698e-02	-6.483083e-04
1.271236827462236e-09	1.290296e-03	1.337042e-02	-6.953269e-04
1.281002452462236e-09	1.266632e-03	1.436355e-02	-7.280855e-04
1.290768077462236e-09	1.240756e-03	1.544977e-02	-7.451248e-04
1.300533702462236e-09	1.215009e-03	1.662786e-02	-7.455050e-04
1.310299327462236e-09	1.191724e-03	1.789364e-02	-7.287267e-04
1.320064952462235e-09	1.172862e-03	1.924195e-02	-6.946654e-04
1.329830577462235e-09	1.159769e-03	2.066833e-02	-6.435440e-04
