time	V(probe_1)	V(probe_2)	V(probe_3)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000000000000e-08	0.000000e+00	0.000000e+00	0.000000e+00
5.000023320005404e-08	9.984722e-13	7.168394e-17	8.064743e-18
5.000069960016212e-08	1.759554e-11	2.994655e-15	1.923284e-16
5.000163240037827e-08	4.024611e-10	2.386156e-13	-1.550918e-15
5.000349800081057e-08	5.094007e-09	6.312381e-12	-2.586732e-13
5.000591512833642e-08	2.989706e-08	6.264737e-11	-3.893722e-12
5.000852506125249e-08	1.109060e-07	3.547543e-10	-2.742094e-11
5.001112091837798e-08	3.466015e-07	2.040150e-09	-2.005628e-10
5.001514123251026e-08	1.210723e-06	1.235984e-08	-1.392854e-09
5.001902997034562e-08	2.903751e-06	4.395730e-08	-5.335299e-09
5.002262200806088e-08	5.850024e-06	1.338922e-07	-1.733727e-08
5.002728422071294e-08	1.243914e-05	4.673209e-07	-6.416576e-08
5.003268975625797e-08	2.441578e-05	1.432109e-06	-2.042426e-07
5.003775492833753e-08	4.074294e-05	3.506729e-06	-5.122843e-07
5.004308802372364e-08	6.396413e-05	8.221276e-06	-1.222093e-06
5.004927519724689e-08	9.782243e-05	1.954857e-05	-2.936773e-06
5.005651026658156e-08	1.442299e-04	4.492326e-05	-6.768715e-06
5.006342138477331e-08	1.928478e-04	8.831413e-05	-1.325901e-05
5.007052563803304e-08	2.446141e-04	1.614221e-04	-2.403272e-05
5.007714913098515e-08	2.926769e-04	2.645597e-04	-3.893188e-05
5.008369528343649e-08	3.394055e-04	4.092292e-04	-5.932582e-05
5.009026200577957e-08	3.861788e-04	6.095758e-04	-8.661886e-05
5.009935761359113e-08	4.531369e-04	9.856160e-04	-1.354946e-04
5.011056692395763e-08	5.412610e-04	1.600275e-03	-2.103141e-04
5.012491847123584e-08	6.599152e-04	2.591823e-03	-3.219568e-04
5.013928592044347e-08	7.724837e-04	3.749832e-03	-4.417415e-04
5.015867273735445e-08	8.901147e-04	5.402737e-03	-6.032854e-04
5.018170894155053e-08	9.641264e-04	7.273741e-03	-7.929617e-04
5.021040441084438e-08	9.738654e-04	9.426221e-03	-1.035729e-03
5.024221097831249e-08	9.249327e-04	1.188471e-02	-1.296464e-03
5.027235213890537e-08	8.520572e-04	1.476414e-02	-1.456047e-03
5.030919083732659e-08	7.502695e-04	1.938607e-02	-1.437829e-03
5.034861403542204e-08	6.553421e-04	2.558859e-02	-1.197325e-03
5.038397687923370e-08	6.387669e-04	3.218733e-02	-8.898393e-04
5.042229399728858e-08	7.263531e-04	4.014004e-02	-5.560170e-04
